Category_Number,Category_Name
1011100,BLENDED WHISKIES
1011200,STRAIGHT BOURBON WHISKIES
1011250,SINGLE BARREL BOURBON WHISKIES
1011300,TENNESSEE WHISKIES
1011400,BOTTLED IN BOND BOURBON
1011500,STRAIGHT RYE WHISKIES
1011600,CORN WHISKIES
1012100,CANADIAN WHISKIES
1012200,SCOTCH WHISKIES
1012210,SINGLE MALT SCOTCH
1012300,IRISH WHISKIES
1022100,TEQUILA
1022200,
1031080,VODKA 80 PROOF
1031090,OTHER PROOF VODKA
1031100,100 PROOF VODKA
1031110,LOW PROOF VODKA
1031200,VODKA FLAVORED
1032080,IMPORTED VODKA
1032100,
1032200,IMPORTED VODKA - MISC
1032230,IMPORTED VODKA - CHERRY
1041100,AMERICAN DRY GINS
1041150,FLAVORED GINS
1041200,AMERICAN SLOE GINS
1042100,IMPORTED DRY GINS
1051010,AMERICAN GRAPE BRANDIES
1051100,APRICOT BRANDIES
1051110,BLACKBERRY BRANDIES
1051120,CHERRY BRANDIES
1051140,PEACH BRANDIES
1051150,MISCELLANEOUS  BRANDIES
1052010,IMPORTED GRAPE BRANDIES
1062050,BARBADOS RUM
1062100,JAMAICA RUM
1062200,PUERTO RICO & VIRGIN ISLANDS RUM
1062250,
1062300,FLAVORED RUM
1062310,SPICED RUM
1071100,AMERICAN COCKTAILS
1081010,AMERICAN AMARETTO
1081015,IMPORTED AMARETTO
1081020,ANISETTE
1081030,COFFEE LIQUEURS
1081200,CREAM LIQUEURS
1081210,CREME DE ALMOND
1081220,DARK CREME DE CACAO
1081230,WHITE CREME DE CACAO
1081240,GREEN CREME DE MENTHE
1081250,WHITE CREME DE MENTHE
1081300,PEPPERMINT SCHNAPPS
1081305,APPLE SCHNAPPS
1081312,BUTTERSCOTCH SCHNAPPS
1081315,CINNAMON SCHNAPPS
1081317,GRAPE SCHNAPPS
1081330,PEACH SCHNAPPS
1081335,RASPBERRY SCHNAPPS
1081340,ROOT BEER SCHNAPPS
1081350,SPEARMINT SCHNAPPS
1081355,STRAWBERRY SCHNAPPS
1081365,TROPICAL FRUIT SCHNAPPS
1081370,WATERMELON SCHNAPPS
1081380,MISCELLANEOUS SCHNAPPS
1081390,IMPORTED SCHNAPPS
1081400,TRIPLE SEC
1081500,ROCK & RYE
1081600,WHISKEY LIQUEUR
1081700,DISTILLED SPIRITS SPECIALTY
1081900,MISC. AMERICAN CORDIALS & LIQUEURS
1082010,AMARETTO - IMPORTED
1082015,IMPORTED AMARETTO
1082390,SCHNAPPS - IMPORTED
1082900,MISC. IMPORTED CORDIALS & LIQUEURS
1091100,
1101100,AMERICAN ALCOHOL
1501100,HIGH PROOF BEER - AMERICAN
1701100,DECANTERS & SPECIALTY PACKAGES
